CIS Microsoft Intune for Windows 11 Benchmark
v4.0.0 - 04-25-2025

Compliance Status|Number|Level|Title|Implemented|Reasoning|Profile Applicability|Description|Rationale|Impact|Audit|Remediation|Default Value|References|Additional Information
To Review|4.10.20.1.6|(L2)|Ensure 'Turn off printing over HTTP' is set to 'Enabled' (Automated)|||• Level 2 (L2)|This policy setting allows you to disable the client computer's ability to print over HTTP, which allows the computer to print to printers on the intranet as well as the Internet. The recommended state for this setting is: Enabled. Note: This control affects printing over both HTTP and HTTPS.|Information that is transmitted over HTTP through this capability is not protected and can be intercepted by malicious users. For this reason, it is not often used in enterprise managed environments.|The client computer will not be able to print to Internet printers over HTTP or HTTPS. Note: This policy setting affects the client side of Internet printing only. Regardless of how it is configured, a computer could act as an Internet Printing server and make its shared printers available through HTTP.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Printers:DisableHTTPPrinting|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off printing over HTTP|Disabled. (Users can choose to print to Internet printers over HTTP.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspadmx-icm#disablehttpprinting_1 2. GRID: MS-00000324 3. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.20.1.7|(L2)|Ensure 'Turn off Registration if URL connection is referring to Microsoft.com' is set to 'Enabled' (Automated)|||• Level 2 (L2)|This policy setting specifies whether the Windows Registration Wizard connects to Microsoft.com for online registration. The recommended state for this setting is: Enabled.|Users in an enterprise managed environment should not be registering their own copies of Windows, providing their own PII in the process.|Users are blocked from connecting to Microsoft.com for online registration and they cannot register their copy of Windows online.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows\Registration Wizard Control:NoRegistration|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off Registration if URL connection is referring to Microsoft.com|Disabled. (Users can connect to Microsoft.com to complete the online Windows Registration.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspadmx-icm#nc_noregistration 2. GRID: MS-00000325 3. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.20.1.8|(L2)|Ensure 'Turn off Search Companion content file updates' is set to 'Enabled' (Automated)|||• Level 2 (L2)|This policy setting specifies whether Search Companion should automatically download content updates during local and Internet searches. The recommended state for this setting is: Enabled.|There is a small risk that users will unknowingly reveal sensitive information because of the topics they are searching for. This risk is very low because even if this setting is enabled users still must submit search queries to the desired search engine in order to perform searches.|Search Companion does not download content updates during searches. Note: Internet searches will still send the search text and information about the search to Microsoft and the chosen search provider. If you select Classic Search, the Search Companion feature will be unavailable. You can select Classic Search by clicking Start, Search, Change Preferences, and then Change Internet Search Behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\SearchCompanion:DisableContentFileUpdates|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off Search Companion content file updates|Disabled. (Search Companion downloads content updates unless the user is using Classic Search.)|1. GRID: MS-00000326 2. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.20.1.9|(L2)|"Ensure 'Turn off the ""Order Prints"" picture task' is set to 'Enabled' (Automated)"|||• Level 2 (L2)|"This policy setting specifies whether the ""Order Prints Online"" task is available from Picture Tasks in Windows folders. The Order Prints Online Wizard is used to download a list of providers and allow users to order prints online. The recommended state for this setting is: Enabled."|In an enterprise managed environment we want to lower the risk of a user unknowingly exposing sensitive data.|"The task ""Order Prints Online"" is removed from Picture Tasks in File Explorer folders."|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoOnlinePrin tsWizard|"To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off the ""Order Prints"" picture task"|"Disabled. (The ""Order Prints Online"" task is displayed in Picture Tasks in File Explorer folders.)"|1. GRID: MS-00000327 2. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.20.1.10|(L2)|"Ensure 'Turn off the ""Publish to Web"" task for files and folders' is set to 'Enabled' (Automated)"|||• Level 2 (L2)|This policy setting specifies whether the tasks Publish this file to the Web, Publish this folder to the Web, and Publish the selected items to the Web are available from File and Folder Tasks in Windows folders. The Web Publishing wizard is used to download a list of providers and allow users to publish content to the Web. The recommended state for this setting is: Enabled.|Users may publish confidential or sensitive information to a public service outside of the control of the organization.|"The ""Publish to Web"" task is removed from File and Folder tasks in Windows folders."|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoPublishing Wizard|"To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off the ""Publish to Web"" task for files and folders"|"Disabled. (The ""Publish to Web"" task is shown in File and Folder tasks in Windows folders.)"|1. GRID: MS-00000328 2. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.20.1.11|(L2)|Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program' is set to 'Enabled' (Automated)|||• Level 2 (L2)|This policy setting specifies whether the Windows Customer Experience Improvement Program can collect anonymous information about how Windows is used. Microsoft uses information collected through the Windows Customer Experience Improvement Program to improve features that are most used and to detect flaws so that they can be corrected more quickly. Enabling this setting will reduce the amount of data Microsoft is able to gather for this purpose. The recommended state for this setting is: Enabled.|Large enterprise managed environments may not want to have information collected by Microsoft from managed client computers.|Windows Messenger will not collect usage information, and the user settings to enable the collection of usage information will not be shown.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 2. HKLM\SOFTWARE\Policies\Microsoft\Messenger\Client:CEIP|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off the Windows Messenger Customer Experience Improvement Program|Users have the choice to opt-in and allow information to be collected.|1. GRID: MS-00000329 2. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.20.1.12|(L2)|Ensure 'Turn off Windows Customer Experience Improvement Program' is set to 'Enabled' (Automated)|||• Level 2 (L2)|This policy setting specifies whether Windows Messenger can collect anonymous information about how the Windows Messenger software and service is used. Microsoft uses information collected through the Windows Customer Experience Improvement Program to detect software flaws so that they can be corrected more quickly, enabling this setting will reduce the amount of data Microsoft is able to gather for this purpose. The recommended state for this setting is: Enabled.|Large enterprise managed environments may not want to have information collected by Microsoft from managed client computers.|All users are opted out of the Windows Customer Experience Improvement Program.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SOFTWARE\Policies\Microsoft\SQMClient\Windows:CEIPEnable|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off Windows Customer Experience Improvement Program|The Administrator can use the Problem Reports and Solutions component in Control Panel to enable Windows Customer Experience Improvement Program for all users.|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspadmx-icm#ceipenable 2. GRID: MS-00000330 3. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.20.1.13|(L2)|Ensure 'Turn off Windows Error Reporting' is set to 'Enabled' (Automated)|||• Level 2 (L2)|This policy setting controls whether or not errors are reported to Microsoft. Error Reporting is used to report information about a system or application that has failed or has stopped responding and is used to improve the quality of the product. The recommended state for this setting is: Enabled.|If a Windows Error occurs in a secure, enterprise managed environment, the error should be reported directly to IT staff for troubleshooting and remediation. There is no benefit to the corporation to report these errors directly to Microsoft, and there is some risk of unknowingly exposing sensitive data as part of the error.|Users are not given the option to report errors to Microsoft.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry locations with a REG_DWORD value of 1 (Disabled) and 0 (DoReport). HKLM\SOFTWARE\Policies\Microsoft\Windows\Windows Error Reporting:Disabled HKLM\SOFTWARE\Policies\Microsoft\PCHealth\ErrorReporting:DoReport|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off Windows Error Reporting|Disabled. (Errors may be reported to Microsoft via the Internet or to a corporate file share.)|"1. GRID: MS-00000331 2. ""Minimum OS CSP: Windows 10, Version 1703, Windows 10, Version 2004 with KB5005101 and later"""|
To Review|4.10.23.1|(L2)|Ensure 'Support device authentication using certificate' is set to 'Enabled: Automatic' (Automated)|||• Level 2 (L2)|This policy setting allows you to set support for Kerberos to attempt authentication using the certificate for the device to the domain. Support for device authentication using certificate will require connectivity to a DC in the device account domain which supports certificate authentication for computer accounts. The recommended state for this setting is: Enabled: Automatic.|Having stronger device authentication with the use of certificates is strongly encouraged over standard username and password authentication. Having this set to Automatic will allow certificate based authentication to be used whenever possible.|None - this is the default behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0 (DevicePKInitBehavior) and 1 (DevicePKInitEnabled). HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\kerberos\param eters:DevicePKInitBehavior HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\kerberos\param eters:DevicePKInitEnabled|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled: Automatic. Administrative Templates\System\Kerberos\Support device authentication using certificate|Automatic. (Devices will attempt to authenticate using their certificate. If the DC does not support computer account authentication using certificates then authentication with password will be attempted.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspadmx-kerberos#devicepkinitenabled 2. GRID: MS-00000332 3. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.25.1|(L2)|Ensure 'Disallow copying of user input methods to the system account for sign-in' is set to 'Enabled' (Automated)|||• Level 2 (L2)|This policy prevents automatic copying of user input methods to the system account for use on the sign-in screen. The user is restricted to the set of input methods that are enabled in the system account. The recommended state for this setting is: Enabled.|This is a way to increase the security of the system account.|Users will have input methods enabled for the system account on the sign-in page.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Control Panel\International:BlockUserInputMethodsForSignIn|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Locale Services\Disallow copying of user input methods to the system account for sign-in|Disabled. (Users will be able to use input methods enabled for their user account on the sign-in page.)|1. GRID: MS-00000344 2. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.26.1|(L1)|Ensure 'Block user from showing account details on sign-in' is set to 'Enabled' (Automated)|||• Level 1 (L1)|This policy prevents the user from showing account details (email address or user name) on the sign-in screen. The recommended state for this setting is: Enabled.|An attacker with access to the console (for example, someone with physical access or someone who is able to connect to the workstation through Remote Desktop Services) could view the name of the last user who logged on to the server. The attacker could then try to guess the password, use a dictionary, or use a brute-force attack to try and log on.|Users cannot choose to show account details on the sign-in screen.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows\System:BlockUserFromShowingAccountDe tailsOnSignin|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Logon\Block user from showing account details on sign-in|Disabled. (Users may choose to show account details on the sign-in screen.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspadmx-logon#blockuserfromshowingaccountdetailsonsignin 2. GRID: MS-00000345 3. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.26.2|(L1)|Ensure 'Do not display network selection UI' is set to 'Enabled' (Automated)|||• Level 1 (L1)|This policy setting allows you to control whether anyone can interact with available networks UI on the logon screen. The recommended state for this setting is: Enabled.|An unauthorized user could disconnect the PC from the network or can connect the PC to other available networks without signing into Windows.|The PC's network connectivity state cannot be changed without signing into Windows.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows\System:DontDisplayNetworkSelectionUI|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Logon\Do not display network selection UI|Disabled. (Any user can disconnect the PC from the network or can connect the PC to other available networks without signing into Windows.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspwindowslogon#dontdisplaynetworkselectionui 2. Minimum OS CSP: Windows 10, Version 1703 and later 3. GRID: MS-00000346|
To Review|4.10.26.3|(L1)|Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled' (Automated)|||• Level 1 (L1)|This policy setting prevents connected users from being enumerated on domain-joined computers. The recommended state for this setting is: Enabled.|A malicious user could use this feature to gather account names of other users, that information could then be used in conjunction with other types of attacks such as guessing passwords or social engineering. The value of this countermeasure is small because a user with domain credentials could gather the same account information using other methods.|The Logon UI will not enumerate any connected users on domain-joined computers.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows\System:DontEnumerateConnectedUsers|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Logon\Do not enumerate connected users on domain-joined computers|Disabled. (Connected users will be enumerated on domain-joined computers.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspadmx-logon#dontenumerateconnectedusers 2. GRID: MS-00000347 3. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
To Review|4.10.26.4|(L1)|Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled' (Automated)|||• Level 1 (L1)|This policy setting allows local users to be enumerated on domain-joined computers. The recommended state for this setting is: Disabled.|A malicious user could use this feature to gather account names of other users, that information could then be used in conjunction with other types of attacks such as guessing passwords or social engineering. The value of this countermeasure is small because a user with domain credentials could gather the same account information using other methods.|None - this is the default behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SOFTWARE\Policies\Microsoft\Windows\System:EnumerateLocalUsers|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Disabled. Administrative Templates\System\Logon\Enumerate local users on domain-joined computers|Disabled. (The Logon UI will not enumerate local users on domain-joined computers.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspwindowslogon#enumeratelocalusersondomainjoinedcomputers 2. GRID: MS-00000348 3. Minimum OS CSP: Windows 10, Version 1803 and later|
To Review|4.10.26.5|(L1)|Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled' (Automated)|||• Level 1 (L1)|This policy setting allows you to prevent app notifications from appearing on the lock screen. The recommended state for this setting is: Enabled. Warning: If the Self Service Password Reset (SSPR) feature is used in Microsoft Entra ID, an exception to this recommendation is needed as it's known to interfere with SSPR.|App notifications might display sensitive business or personal data.|No app notifications are displayed on the lock screen.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows\System:DisableLockScreenAppNotificat ions|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Logon\Turn off app notifications on the lock screen|Disabled. (Users can choose which apps display notifications on the lock screen.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspwindowslogon#disablelockscreenappnotifications 2. Minimum OS CSP: Windows 10, Version 1703 and later 3. GRID: MS-00000349|
To Review|4.10.26.6|(L1)|Ensure 'Turn off picture password sign-in' is set to 'Enabled' (Automated)|||• Level 1 (L1)|This policy setting allows you to control whether a domain user can sign in using a picture password. The recommended state for this setting is: Enabled. Note: If the picture password feature is permitted, the user's domain password is cached in the system vault when using it.|Picture passwords bypass the requirement for a typed complex password. In a shared work environment, a simple shoulder surf where someone observed the on-screen gestures would allow that person to gain access to the system without the need to know the complex password. Vertical monitor screens with an image are much more visible at a distance than horizontal key strokes, increasing the likelihood of a successful observation of the mouse gestures.|Users will not be able to set up or sign in with a picture password.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows\System:BlockDomainPicturePassword|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Logon\Turn off picture password sign-in|Disabled. (Users can set up and use a picture password.)|1. Minimum OS CSP: Windows 10, Version 1703 and later 2. GRID: MS-00000350|
To Review|4.10.26.7|(L1)|Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled' (Automated)|||• Level 1 (L1)|This policy setting allows you to control whether a user can sign in using a convenience PIN. Note: The user's password will be cached in the system vault when using this feature. The recommended state for this setting is: Disabled.|A PIN is created from a much smaller selection of characters than a password, so in most cases a PIN will be much less robust than a password.|None - this is the default behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SOFTWARE\Policies\Microsoft\Windows\System:AllowDomainPINLogon|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Disabled. Administrative Templates\System\Logon\Turn on convenience PIN sign-in|Disabled. (A user can't set up and use a convenience PIN.)|1. Minimum OS CSP: Windows 10, Version 1703 and later 2. GRID: MS-00000351|
To Review|4.10.29.5.1|(L1)|Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled' (Automated)|||• Level 1 (L1)|Specifies whether or not the user is prompted for a password when the system resumes from sleep. The recommended state for this setting is: Enabled.|Enabling this setting ensures that anyone who wakes an unattended computer from sleep state will have to provide logon credentials before they can access the system.|None - this is the default behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5- f7d2daa51f51:DCSettingIndex|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Power Management\Sleep Settings\Require a password when a computer wakes (on battery)|Enabled. (The user is prompted for a password when the system resumes from sleep while on battery.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-csppower#requirepasswordwhencomputerwakesonbattery 2. Minimum OS CSP: Windows 10, Version 1703 and later 3. GRID: MS-00000357|
To Review|4.10.29.5.2|(L1)|Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled' (Automated)|||• Level 1 (L1)|Specifies whether or not the user is prompted for a password when the system resumes from sleep. The recommended state for this setting is: Enabled.|Enabling this setting ensures that anyone who wakes an unattended computer from sleep state will have to provide logon credentials before they can access the system.|None - this is the default behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5- f7d2daa51f51:ACSettingIndex|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\System\Power Management\Sleep Settings\Require a password when a computer wakes (plugged in)|Enabled. (The user is prompted for a password when the system resumes from sleep while plugged in.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-csppower#requirepasswordwhencomputerwakespluggedin 2. Minimum OS CSP: Windows 10, Version 1703 and later 3. GRID: MS-00000358|
To Review|4.10.30.1|(L1)|Ensure 'Configure Offer Remote Assistance' is set to 'Disabled' (Automated)|||• Level 1 (L1)|This policy setting allows you to turn on or turn off Offer (Unsolicited) Remote Assistance on this computer. Help desk and support personnel will not be able to proactively offer assistance, although they can still respond to user assistance requests. The recommended state for this setting is: Disabled.|A user might be tricked and accept an unsolicited Remote Assistance offer from a malicious user.|None - this is the default behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowUnsolicited|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Disabled. Administrative Templates\System\Remote Assistance\Configure Offer Remote Assistance|Disabled. (Users on this computer cannot get help from their corporate technical support staff using Offer (Unsolicited) Remote Assistance.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspremoteassistance#unsolicitedremoteassistance 2. Minimum OS CSP: Windows 10, Version 1703 and later 3. GRID: MS-00000359|
To Review|4.10.30.2|(L1)|Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled' (Automated)|||• Level 1 (L1)|This policy setting allows you to turn on or turn off Solicited (Ask for) Remote Assistance on this computer. The recommended state for this setting is: Disabled.|There is slight risk that a rogue administrator will gain access to another user's desktop session, however, they cannot connect to a user's computer unannounced or control it without permission from the user. When an expert tries to connect, the user can still choose to deny the connection or give the expert view-only privileges. The user must explicitly click the Yes button to allow the expert to remotely control the workstation.|Users on this computer cannot use e-mail or file transfer to ask someone for help. Also, users cannot use instant messaging programs to allow connections to this computer.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowToGetHelp|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Disabled. Administrative Templates\System\Remote Assistance\Configure Solicited Remote Assistance|Users can turn on or turn off Solicited (Ask for) Remote Assistance themselves in System Properties in Control Panel. Users can also configure Remote Assistance settings.|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspremoteassistance#solicitedremoteassistance 2. Minimum OS CSP: Windows 10, Version 1703 and later 3. GRID: MS-00000360|
To Review|4.10.31.1|(L1)|Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled' (Automated)|||• Level 1 (L1)|This policy setting controls whether RPC clients authenticate with the Endpoint Mapper Service when the call they are making contains authentication information. The Endpoint Mapper Service on computers running Windows NT4 (all service packs) cannot process authentication information supplied in this manner. This policy setting can cause a specific issue with 1-way forest trusts if it is applied to the trusting domain DCs (see Microsoft KB3073942), so we do not recommend applying it to Domain Controllers. Note: This policy will not in effect until the system is rebooted. The recommended state for this setting is: Enabled.|Anonymous access to RPC services could result in accidental disclosure of information to unauthenticated users.|RPC clients will authenticate to the Endpoint Mapper Service for calls that contain authentication information. Clients making such calls will not be able to communicate with the Windows NT4 Server Endpoint Mapper Service.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Rpc:EnableAuthEpResolution|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to DisaEnabled`ed. Administrative Templates\System\Remote Procedure Call\Enable RPC Endpoint Mapper Client Authentication|Disabled. (RPC clients will not authenticate to the Endpoint Mapper Service, but they will be able to communicate with the Windows NT4 Server Endpoint Mapper Service.)|1. https://learn.microsoft.com/en-us/windows/win32/rpc/how-rpc-works 2. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspremoteprocedurecall#rpcendpointmapperclientauthentication 3. Minimum OS CSP: Windows 10, Version 1703 and later 4. GRID: MS-00000361|
To Review|4.10.31.2|(L1)|Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled: Authenticated' (Automated)|||• Level 1 (L1)|"This policy setting controls how the RPC server runtime handles unauthenticated RPC clients connecting to RPC servers. This policy setting impacts all RPC applications. In a domain environment this policy setting should be used with caution as it can impact a wide range of functionality including group policy processing itself. Reverting a change to this policy setting can require manual intervention on each affected machine. This policy setting should never be applied to a Domain Controller. A client will be considered an authenticated client if it uses a named pipe to communicate with the server or if it uses RPC Security. RPC Interfaces that have specifically requested to be accessible by unauthenticated clients may be exempt from this restriction, depending on the selected value for this policy setting. -- ""None"" allows all RPC clients to connect to RPC Servers running on the machine on which the policy setting is applied. -- ""Authenticated"" allows only authenticated RPC Clients (per the definition above) to connect to RPC Servers running on the machine on which the policy setting is applied. Exemptions are granted to interfaces that have requested them. -- ""Authenticated without exceptions"" allows only authenticated RPC Clients (per the definition above) to connect to RPC Servers running on the machine on which the policy setting is applied. No exceptions are allowed. This value has the potential to cause serious problems and is not recommended. Note: This policy setting will not be applied until the system is rebooted. The recommended state for this setting is: Enabled: Authenticated."|Unauthenticated RPC communication can create a security vulnerability.|None - this is the default behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Rpc:RestrictRemoteClients|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled: Authenticated. Administrative Templates\System\Remote Procedure Call\Restrict Unauthenticated RPC clients|Enabled: Authenticated. (Only authenticated RPC clients are allowed to connect to RPC servers running on the machine. Exemptions are granted to interfaces that have requested them.)|1. https://learn.microsoft.com/en-us/windows/win32/rpc/how-rpc-works 2. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspremoteprocedurecall#restrictunauthenticatedrpcclients 3. Minimum OS CSP: Windows 10, Version 1703 and later 4. GRID: MS-00000362|
To Review|4.10.40.5.1|(L2)|Ensure 'Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider' is set to 'Disabled' (Automated)|||• Level 2 (L2)|This policy setting configures Microsoft Support Diagnostic Tool (MSDT) interactive communication with the support provider. MSDT gathers diagnostic data for analysis by support professionals. The recommended state for this setting is: Disabled.|Due to privacy concerns, data should never be sent to any third-party since this data could contain sensitive information.|MSDT cannot run in support mode, and no data can be collected or sent to the support provider.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SOFTWARE\Policies\Microsoft\Windows\ScriptedDiagnosticsProvider\Policy:D isableQueryRemoteServer|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Disabled. Administrative Templates\System\Troubleshooting and Diagnostics\Microsoft Support Diagnostic Tool\Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider|Enabled. (Users can use MSDT to collect and send diagnostic data to a support professional to resolve a problem. By default, the support provider is set to Microsoft Corporation.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspadmx-msdt#msdtsupportprovider 2. GRID: MS-00000364 3. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later|
